miRNA,SM,label
hsa-miR-22-3p,5280795,1
hsa-miR-19b-3p,5994,1
hsa-let-7d-5p,712,1
hsa-miR-638,2336,1
hsa-miR-124-3p,4095,1
hsa-miR-494-3p,5978,1
hsa-miR-17-5p,451668,1
hsa-miR-21-5p,5352624,1
hsa-miR-139-5p,60750,1
hsa-miR-23a-3p,448537,1
hsa-miR-1268a,3220,1
hsa-miR-218-5p,119307,1
hsa-miR-101-3p,712,1
hsa-miR-365a-3p,124024,1
hsa-miR-155-5p,446220,1
hsa-miR-25-5p,969516,1
hsa-miR-636,444732,1
hsa-miR-16-5p,712,1
hsa-miR-126-3p,712,1
hsa-miR-375-3p,2733526,1
hsa-let-7a-5p,3652,1
hsa-miR-20a-5p,446220,1
hsa-miR-302b-3p,124024,1
hsa-miR-365a-3p,3385,1
hsa-miR-148a-3p,73581,1
hsa-miR-625-5p,448537,1
hsa-miR-892b,60823,1
hsa-miR-451a,5743,1
hsa-miR-92b-3p,448537,1
hsa-miR-10a-5p,712,1
hsa-miR-24-1-5p,8642,1
hsa-miR-203a-3p,5757,1
hsa-miR-302b-3p,5793,1
hsa-miR-181a-3p,448537,1
hsa-miR-323a-3p,5743,1
hsa-miR-526b-5p,5757,1
hsa-miR-125b-5p,5288826,1
hsa-miR-30d-5p,5310940,1
hsa-miR-17-5p,124024,1
hsa-miR-425-5p,146160902,1
hsa-miR-9-5p,5352624,1
hsa-miR-140-5p,969516,1
hsa-miR-29c-3p,5793,1
hsa-miR-151a-5p,5310940,1
hsa-miR-21-5p,25113114,1
hsa-miR-185-5p,5702198,1
hsa-miR-100-5p,119307,1
hsa-miR-19a-3p,969516,1
hsa-miR-144-3p,124024,1
hsa-miR-222-5p,216239,1
hsa-miR-490-3p,124024,1
hsa-miR-485-5p,124024,1
hsa-miR-103a-3p,712,1
hsa-miR-519d-3p,5793,1
hsa-miR-301a-3p,5994,1
hsa-miR-15b-5p,36462,1
hsa-miR-130a-3p,451668,1
hsa-miR-125b-5p,451668,1
hsa-miR-548d-5p,5702198,1
hsa-miR-27b-3p,13089,1
hsa-miR-15b-5p,969516,1
hsa-miR-323a-5p,5994,1
hsa-miR-106b-5p,6445533,1
hsa-miR-520c-3p,5280453,1
hsa-miR-125b-5p,3220,1
hsa-miR-512-3p,444732,1
hsa-miR-375-3p,5280448,1
hsa-miR-26b-5p,3385,1
hsa-let-7b-5p,229455,1
hsa-miR-181a-5p,712,1
hsa-miR-125a-3p,3121,1
hsa-miR-21-5p,6623,1
hsa-miR-199a-5p,124024,1
hsa-miR-125b-5p,9444,1
hsa-miR-27b-3p,3385,1
hsa-miR-216a-5p,969516,1
hsa-miR-27a-3p,712,1
hsa-miR-545-3p,5793,1
hsa-let-7b-5p,60750,1
hsa-miR-124-3p,5757,1
hsa-miR-650,712,1
hsa-miR-320a-3p,5288826,1
hsa-let-7g-5p,5757,1
hsa-miR-490-5p,3220,1
hsa-miR-593-3p,5311,1
hsa-miR-199a-3p,969516,1
hsa-miR-708-5p,5793,1
hsa-miR-92a-3p,969516,1
hsa-miR-181d-5p,712,1
hsa-let-7c-5p,444732,1
hsa-miR-373-5p,60750,1
hsa-miR-24-3p,3385,1
hsa-miR-28-5p,712,1
hsa-miR-589-3p,216326,1
hsa-let-7f-5p,5757,1
hsa-miR-200b-3p,97226,1
hsa-miR-1225-5p,10635,1
hsa-miR-23a-3p,712,1
hsa-miR-222-3p,3385,1
hsa-miR-330-3p,712,1
hsa-miR-21-5p,969516,1
hsa-miR-93-5p,3385,1
hsa-miR-135b-5p,3220,1
hsa-miR-21-5p,107985,1
hsa-miR-374b-5p,3385,1
hsa-miR-196a-5p,6842,1
hsa-miR-375-3p,10635,1
hsa-miR-194-5p,712,1
hsa-miR-515-3p,5793,1
hsa-miR-193b-5p,97226,1
hsa-miR-1271-5p,97226,1
hsa-miR-500a-5p,444732,1
hsa-miR-141-3p,5994,1
hsa-miR-208a-3p,5793,1
hsa-let-7g-5p,451668,1
hsa-miR-99b-5p,5311,1
hsa-miR-20a-5p,3385,1
hsa-miR-151a-3p,712,1
hsa-miR-657,448537,1
hsa-miR-128-1-5p,124024,1
hsa-miR-27b-3p,31703,1
hsa-miR-324-5p,124024,1
hsa-miR-191-5p,5288826,1
hsa-miR-638,5288826,1
hsa-miR-106b-3p,969516,1
hsa-miR-550a-3p,119307,1
